id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,label
1,37.454,39.7996,5.5203,0.5868,0.1981,2,174.1684,539.1613,17.3285,0.4431,1
2,95.0714,53.4838,23.6824,0.7454,-0.1444,5,85.124,311.3077,29.5622,0.1461,0
3,73.1994,54.3961,1.1788,0.4317,-0.5737,7,130.7056,610.3338,27.4976,0.3332,1
4,59.8658,39.2847,6.7851,0.1276,-0.5469,8,67.1911,716.1507,36.4434,0.3224,0
5,15.6019,77.9866,0.1142,0.2838,-0.0328,8,111.1639,272.624,19.7801,0.387,1
6,15.5995,57.1075,6.3235,0.3631,-0.5434,3,114.3662,413.5491,23.9552,0.189,0
7,5.8084,32.1304,0.5795,0.6459,-0.7128,4,99.2747,121.8861,24.3575,0.2137,0
8,86.6176,59.8483,1.2649,0.5708,0.1064,1,82.8699,181.1493,29.9468,0.1883,0
9,60.1115,35.3798,1.2503,0.3561,-0.255,10,92.1003,681.1179,22.4645,0.407,0
10,70.8073,61.8063,10.4757,0.9865,1.504,8,87.9013,181.4383,19.1448,0.2923,0
11,2.0584,67.3789,13.706,0.6058,-2.651,7,172.0608,525.1634,31.039,0.3053,0
12,96.991,37.6898,8.7555,0.2372,1.0915,2,99.3219,709.0463,23.4167,0.0916,0
13,83.2443,64.4506,32.7472,0.1018,1.2461,10,115.7467,106.8769,29.3932,0.2451,0
14,21.2339,56.1917,4.698,0.1529,-2.0734,8,153.4488,567.3122,28.811,0.2464,0
15,18.1825,62.3309,3.3647,0.246,-0.3427,2,73.7104,256.5628,24.8505,0.2038,0
16,18.3405,78.4519,20.295,0.1607,-0.3714,8,101.1298,962.9269,24.1284,0.2079,0
17,30.4242,46.3192,2.5308,0.1866,-1.4075,1,91.9244,483.5456,23.0422,0.3354,0
18,52.4756,38.694,33.0287,0.2851,-0.7778,9,97.4158,805.9925,24.924,0.0989,0
19,43.1945,36.6573,0.1223,0.1734,-1.1106,8,94.6296,550.2265,29.3155,0.1582,0
20,29.1229,37.7628,35.0253,0.8968,1.7523,7,78.0437,43.4125,21.0178,0.175,0
21,61.1853,48.8435,0.4412,0.0802,0.9357,8,105.8623,633.1514,25.5442,0.1994,0
22,13.9494,55.1173,22.1772,0.5245,1.2716,4,68.121,951.4033,19.4068,0.0776,0
23,29.2145,54.1504,7.5014,0.4104,0.7217,10,129.6665,601.6118,20.0295,0.175,0
24,36.6362,62.4077,49.5683,0.9824,-1.1291,10,118.6993,819.1889,24.8453,0.3283,0
25,45.607,50.195,0.7666,0.112,-0.5245,1,85.1961,884.2065,15.1992,0.1306,0
26,78.5176,71.803,8.0711,0.3979,0.4894,7,86.6505,228.0798,35.3028,0.5298,0
27,19.9674,46.0301,34.8358,0.9695,-1.2221,5,108.2653,212.0448,19.0347,0.0456,0
28,51.4234,90.8025,7.4044,0.8655,0.713,7,76.0436,610.981,24.7996,0.3856,1
29,59.2415,59.385,9.9263,0.8171,-0.2403,10,154.3594,411.0285,30.8411,0.0982,1
30,4.645,37.1426,11.899,0.2579,-0.3748,4,110.7378,839.8613,20.6855,0.4403,0
31,60.7545,33.9366,6.0613,0.1709,0.711,9,111.7979,900.0231,13.4865,0.2249,0
32,17.0524,57.2371,9.8767,0.6686,0.4443,1,120.4434,353.4214,22.7753,0.3555,0
33,6.5052,46.6481,8.7783,0.9294,-0.361,5,82.6161,236.8706,20.6259,0.27,0
34,94.8886,60.71,23.1423,0.5568,1.1593,4,132.6703,780.5255,13.6181,0.3079,0
35,96.5632,57.0986,0.4651,0.5716,-1.0811,4,103.436,274.806,26.4244,0.1182,1
36,80.8397,48.9076,3.2984,0.28,0.6159,0,128.5044,822.6143,26.0355,0.5024,1
37,30.4614,37.2981,30.04,0.7695,0.5931,1,94.0614,423.7383,30.7116,0.1199,0
38,9.7672,27.2773,22.0968,0.187,-0.3095,7,139.5183,667.5499,19.3959,0.4904,0
39,68.4233,43.3023,6.0818,0.3237,0.3261,2,112.0403,95.5353,17.0043,0.153,0
40,44.0152,62.846,9.6793,0.4254,-1.2511,9,165.4752,623.8593,22.9664,0.1335,0
41,12.2038,53.2114,3.2487,0.5076,0.924,2,88.9144,451.7677,24.5583,0.2131,0
42,49.5177,31.3139,2.084,0.2424,-0.1849,7,106.1365,586.6085,29.6067,0.2647,1
43,3.4389,52.5977,6.2306,0.1148,-0.5227,7,69.0527,168.0142,32.0528,0.1638,1
44,90.932,55.7798,4.3595,0.6106,1.049,1,84.1211,736.8737,31.0724,0.41,0
45,25.878,36.7421,8.7624,0.2886,-0.7043,7,118.5606,862.7971,26.3827,0.1691,0
46,66.2522,52.3059,0.8092,0.5812,-1.4085,10,133.8797,216.7398,28.9975,0.3651,0
47,31.1711,50.8731,36.6496,0.1544,-1.5566,0,188.9503,95.7146,21.7975,0.5887,1
48,52.0068,32.8554,42.8387,0.4811,0.606,5,97.1011,23.6386,25.842,0.3079,0
49,54.671,55.3668,11.9786,0.5326,-1.2804,7,72.0036,641.9715,19.0435,0.2474,1
50,18.4854,58.4118,7.6808,0.0518,1.7548,2,122.5998,607.094,25.3134,0.1867,0
51,96.9585,66.2458,3.7038,0.3366,-2.0819,7,66.1652,546.6974,25.4432,0.3078,0
52,77.5133,65.807,16.8091,0.1344,1.6965,0,116.9283,231.9471,33.6106,0.1985,1
53,93.9499,29.335,11.5433,0.0634,0.211,10,84.9323,390.906,23.8551,0.2641,0
54,89.4827,35.9326,1.7747,0.99,-0.0967,10,106.3478,594.4763,25.4502,0.4612,0
55,59.79,57.7255,24.183,0.3224,-0.5449,8,132.7314,496.7669,26.1848,0.3864,0
56,92.1874,57.7068,17.2899,0.8099,0.3991,10,96.678,987.7855,22.7259,0.0526,0
57,8.8493,57.7257,29.9174,0.2546,-0.0376,8,127.9864,136.4398,20.9875,0.5298,0
58,19.5983,107.791,12.936,0.6815,1.1033,4,126.1948,695.1446,31.4941,0.2489,1
59,4.5227,58.5634,9.504,0.7602,0.1142,9,44.0701,404.3188,20.0954,0.4521,0
60,32.533,67.0335,5.417,0.5956,0.1503,3,72.952,428.1996,18.3604,0.1576,0
61,38.8677,64.31,26.9902,0.4716,-0.3636,10,53.1458,717.5978,28.4013,0.2471,0
62,27.1349,59.7709,20.1039,0.4118,-0.0569,5,160.0521,692.4362,30.7891,0.1676,0
63,82.8738,45.271,0.4627,0.3489,0.3078,6,96.8382,991.256,22.743,0.5263,0
64,35.6753,61.3845,0.2672,0.9295,-1.7102,4,153.4249,128.3943,22.8197,0.698,0
65,28.0935,38.4076,4.7235,0.8306,-1.3482,10,51.0114,104.1096,26.4127,0.0926,0
