model,epoch,train_accuracy,val_accuracy,test_accuracy,f1_score,precision,recall
AIModel,10,0.723,0.710,0.705,0.698,0.712,0.685
AIModel,20,0.812,0.798,0.790,0.785,0.792,0.778
AIModel,30,0.856,0.841,0.838,0.832,0.840,0.825
AIModel,40,0.889,0.872,0.868,0.865,0.871,0.860
AIModel,50,0.912,0.895,0.891,0.888,0.893,0.883
AIModel,60,0.928,0.915,0.910,0.907,0.912,0.902
AIModel,70,0.941,0.928,0.925,0.922,0.927,0.917
AIModel,72,0.945,0.934,0.931,0.928,0.933,0.923
AIModel,80,0.951,0.930,0.927,0.924,0.929,0.919
AIModel,87,0.958,0.932,0.928,0.925,0.930,0.920
